doc_id,Title,Author,year,journal,DOI,Url
5D2P9NYD,Egg sharing and egg donation: attitudes of British egg donors and recipients,"Ahuja, K. K.; Mostyn, B. J.; Simons, E. G.",1997,HUMAN REPRODUCTION,10.1093/humrep/12.12.2845,
TJPAQR4U,Smoking-induced chromosomal segregation anomalies identified by FISH analysis of sperm,"Pereira, Ciro Silveira; Juchniuk de Vozzi, Maria Silvina; dos Santos, Silvio Avelino; Vasconcelos, Maria Aparecida C.; de Paz, Claudia C. P.; Squire, Jeremy A.; Martelli, Lucia",2014,MOLECULAR CYTOGENETICS,10.1186/s13039-014-0058-7,
6VIS7SEI,Quantitative Inheritance of Red Eye Pigment in Drosophila Melanogaster,"Chauhan, Ns; Robertson, Fw",1966,GENETICS RESEARCH,10.1017/S0016672300010016,
CP6L4SWS,Identification and Purification of a Sperm Surface Protein with a Potential Role in Sperm Egg Membrane-Fusion,"Primakoff, P.; Hyatt, H.; Tredickkline, J.",1987,JOURNAL OF CELL BIOLOGY,10.1083/jcb.104.1.141,
28X54SKC,Using RNA sequencing to characterize female reproductive genes between Z and E Strains of European Corn Borer moth (<i>Ostrinia nubilalis</i>),"Al-Wathiqui, Nooria; Lewis, Sara M.; Dopman, Erik B.",2014,BMC GENOMICS,10.1186/1471-2164-15-189,
M6JWDHR5,"Detection of recombination events, haplotype reconstruction and imputation of sires using half-sib SNP genotypes","Ferdosi, Mohammad H.; Kinghorn, Brian P.; van der Werf, Julius H. J.; Gondro, Cedric",2014,GENETICS SELECTION EVOLUTION,10.1186/1297-9686-46-11,
UHE3G9A7,Zebra mussel spawning is induced in low concentrations of putative serotonin reuptake inhibitors,"Fong, P. P.",1998,BIOLOGICAL BULLETIN,10.2307/1543044,
5VSAI42G,"Postnatal epigenetic reprogramming in the germline of a marsupial, the tammar wallaby","Suzuki, Shunsuke; Shaw, Geoffrey; Renfree, Marilyn B.",2013,EPIGENETICS & CHROMATIN,10.1186/1756-8935-6-14,
RV4LJZ36,"Trout Sertoli and Leydig-Cells - Isolation, Separation, and Culture","Loir, M.",1988,GAMETE RESEARCH,10.1002/mrd.1120200406,
DWRBHVTE,Relationship quality in lesbian and heterosexual couples undergoing treatment with assisted reproduction,"Borneskog, Catrin; Svanberg, Agneta Skoog; Lampic, Claudia; Sydsjo, Gunilla",2012,HUMAN REPRODUCTION,10.1093/humrep/der472,
B9NE8GI9,Possible involvement of integrin-mediated signalling in oocyte activation: evidence that a cyclic RGD-containing peptide can stimulate protein kinase C and cortical granule exocytosis in mouse oocytes,"Tatone, Carla; Carbone, Maria Cristina",2006,REPRODUCTIVE BIOLOGY AND ENDOCRINOLOGY,10.1186/1477-7827-4-48,
KMKIKAV6,Global scale transcriptome analysis of <i>Arabidopsis</i> embryogenesis <i>in vitro</i>,"Wickramasuriya, Anushka M.; Dunwell, Jim M.",2015,BMC GENOMICS,10.1186/s12864-015-1504-6,
56IK6QXR,"Childless Canadian mens and womens childbearing intentions, attitudes towards and willingness to use assisted human reproduction","Daniluk, J. C.; Koert, E.",2012,HUMAN REPRODUCTION,10.1093/humrep/des190,
AV5GN8F5,"Effect of <i>in vitro</i> fertilization medium on the acrosome reaction, cortical reaction, zona pellucida hardening and in vitro development in pigs","Coy, P.; Gadea, J.; Romar, R.; Matás, C.; García, E.",2002,REPRODUCTION,10.1530/reprod/124.2.279,
MV9ALMBM,Evolution of <i>Parallel Spindles Like</i> genes in plants and highlight of unique domain architecture,"Cigliano, Riccardo Aiese; Sanseverino, Walter; Cremona, Gaetana; Consiglio, Federica M.; Conicella, Clara",2011,BMC EVOLUTIONARY BIOLOGY,10.1186/1471-2148-11-78,
UMQU8G9L,Assisted reproduction as a cause of maternal and perinatal morbidity,"Pinto e Silva, Joao Luiz; Bahamondes, Luis",2005,REVISTA BRASILEIRA DE GINECOLOGIA E OBSTETRICIA,10.1590/S0100-72032005001200009,
Q77CTMAW,Purified and refolded recombinant bonnet monkey (<i>Macaca radiata</i>) zona pellucida glycoprotein-B expressed in <i>Escherichia coli</i> binds to spermatozoa,"Govind, C. K.; Gahlay, G. K.; Choudhury, S.; Gupta, S. K.",2001,BIOLOGY OF REPRODUCTION,10.1095/biolreprod64.4.1147,
MNQEEUT5,Accumulation of numerical and structural chromosome imbalances in spermatozoa from reciprocal translocation carriers,"Godo, A.; Blanco, J.; Vidal, F.; Anton, E.",2013,HUMAN REPRODUCTION,10.1093/humrep/des431,
LYISSAKG,The Role of Autophagy and Apoptosis During Embryo Development,"Agnello, M.; Bosco, L.; Chiarelli, R.; Martino, C.; Roccheri, M. C.",2015,,,
VK4LNVBT,The Genetic-Basis of Life-History Characters in a Polychaete Exhibiting Planktotrophy and Lecithotrophy,"Levin, La; Zhu, J.; Creed, E.",1991,EVOLUTION,10.2307/2409672,
DXA57WK7,Avian germinal disc region secretes factors that stimulate proliferation and inhibit progesterone production by granulosa cells,"Tischkau, S. A.; Bahr, J. M.",1996,BIOLOGY OF REPRODUCTION,10.1095/biolreprod54.4.865,
8LTB9QN8,Segregation of Centric Y-Autosome Translocations in Drosophila-Melanogaster .1. Segregation Determinants in Males,"Falk, R.; Baker, S.; Rahat, A.",1985,GENETICS RESEARCH,10.1017/S0016672300021959,
IDHNTGQL,Storage time does not modify the gene expression profile of cryopreserved human metaphase II oocytes,"Stigliani, Sara; Moretti, Stefano; Anserini, Paola; Casciano, Ida; Venturini, Pier Luigi; Scaruffi, Paola",2015,HUMAN REPRODUCTION,10.1093/humrep/dev232,
9MZQES6T,Fertility comparison between wild type and transgenic mice by in vitro fertilization,"Vasudevan, Kuzhalini; Raber, James; Sztein, Jorge",2010,TRANSGENIC RESEARCH,10.1007/s11248-009-9336-2,
267P8J6W,A novel nozzle for more efficient sperm orientation to improve sorting efficiency of X and Y chromosome-bearing sperm,"Rens, W.; Welch, G. R.; Johnson, L. A.",1998,CYTOMETRY,10.1002/(SICI)1097-0320(19981201)33:4<476::AID-CYTO12>3.0.CO;2-B,
BXHKHW3W,Baculovirus-expressed recombinant human zona pellucida glycoprotein-B induces acrosomal exocytosis incapacitated spermatozoa in addition to zona pellucida glycoprotein-C,"Chakravarty, S.; Suraj, K.; Gupta, S. K.",2005,MOLECULAR HUMAN REPRODUCTION,10.1093/molehr/gah165,
X59TJ8FI,FGF8-FGFR1 Signaling Acts as a Niche Factor for Maintaining Undifferentiated Spermatogonia in the Mouse,"Hasegawa, Kazuteru; Saga, Yumiko",2014,BIOLOGY OF REPRODUCTION,10.1095/biolreprod.114.121012,
C3E7RXH5,Vegetative and reproductive innovations of early land plants: implications for a unified phylogeny,"Renzaglia, K. S.; Duff, R. J.; Nickrent, D. L.; Garbary, D. J.",2000,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rstb.2000.0615,
I2YUQT9H,Follicle-stimulating hormone and insulin-like growth factor-1 attenuate apoptosis in cultured porcine granulosa cells,"Guthrie, H. D.; Garrett, W. M.; Cooper, B. S.",1998,BIOLOGY OF REPRODUCTION,10.1095/biolreprod58.2.390,
832NY6IN,Current status of semen banking in the USA,"Critser, J. K.",1998,HUMAN REPRODUCTION,10.1093/humrep/13.suppl_2.55,
SGNYNYXS,<i>De novo</i> sequencing of the <i>Hypericum perforatum</i> L. flower transcriptome to identify potential genes that are related to plant reproduction <i>sensu lato</i>,"Galla, Giulio; Vogel, Heiko; Sharbel, Timothy F.; Barcaccia, Gianni",2015,BMC GENOMICS,10.1186/s12864-015-1439-y,
A3CEZPUB,Heat Shock Protein 2 Promoter Drives Cre Expression in Spermatocytes of Transgenic Mice,"Inselman, Amy L.; Nakamura, Noriko; Brown, Paula R.; Willis, William D.; Goulding, Eugenia H.; Eddy, Edward M.",2010,GENESIS,10.1002/dvg.20588,
IUSCUVFP,Recruitment and counselling of sperm donors: ethical problems,"Shenfield, F.",1998,HUMAN REPRODUCTION,10.1093/humrep/13.suppl_2.70,
K3I66BBW,The Evolution of Human Reproduction: A Primatological Perspective,"Martin, Robert D.",2007,"YEARBOOK OF PHYSICAL ANTHROPOLOGY, VOL 50",,
YNXUW7VT,Mitochondria in human offspring derived from ooplasmic transplantation,"Barritt, J. A.; Brenner, C. A.; Malter, H. E.; Cohen, J.",2001,HUMAN REPRODUCTION,10.1093/humrep/16.3.513,
25DDVCIE,A heparin-binding membrane protein from goat spermatozoa immobilizes spermatozoa in the presence of complement,"Mor, V.; Das, T.; Ray, K.; Chatterjee, T.",2006,FERTILITY AND STERILITY,10.1016/j.fertnstert.2005.09.039,
9ILSYMYB,Fate of Fluorescent Stained Sperm Following Insemination - New Light on Oviducal Sperm Transport and Storage in the Turkey,"Bakst, Mr",1994,BIOLOGY OF REPRODUCTION,10.1095/biolreprod50.5.987,
UC4CQMNE,"Multicentre approaches to donor insemination in the French CECOS Federation:: Nationwide evaluation, donor matching, screening for genetic diseases and consanguinity","Le Lannou, D.; Thépot, F.; Jouannet, P.",1998,HUMAN REPRODUCTION,10.1093/humrep/13.suppl_2.35,
7SJKR7H9,Epigenetic and experimental modifications in early mammalian development: Part II - Cytoplasmic transfer in assisted reproduction,"Barritt, J. A.; Willadsen, S.; Brenner, C.; Cohen, J.",2001,HUMAN REPRODUCTION UPDATE,10.1093/humupd/7.4.428,
USUK9XZL,"RASA, a recombinant single-chain variable fragment (scFv) antibody directed against the human sperm surface: implications for novel contraceptives","Norton, E. J.; Diekman, A. B.; Westbrook, V. A.; Flickinger, C. J.; Herr, J. C.",2001,HUMAN REPRODUCTION,10.1093/humrep/16.9.1854,
